Price,Close,High,Low,Open,Volume
Ticker,^MXX,^MXX,^MXX,^MXX,^MXX
Date,,,,,
2025-05-15,57959.71875,58113.53125,57179.19921875,57579.73046875,166967600
2025-05-16,57987.140625,58223.94140625,57685.8203125,57970.87890625,126627200
2025-05-19,58493.390625,58857.609375,57764.23828125,58016.73828125,174052700
2025-05-20,58311.1484375,58791.6484375,58250.98828125,58413.01171875,199140300
2025-05-21,58568.01171875,58632.23046875,58071.1015625,58276.0390625,172971700
2025-05-22,57894.8203125,58561.76953125,57795.6796875,58397.58984375,185193000
2025-05-23,58410.37109375,58492.08984375,57234.37890625,57707.6015625,166225100
2025-05-26,58459.16015625,58536.51953125,58225.859375,58337.46875,30513200
2025-05-27,58593.828125,59735.4296875,58324.5,58449.16015625,233318900
2025-05-28,58735.859375,58992.1796875,58409.80078125,58502.421875,217764500
2025-05-29,58614.41015625,59079.3203125,58565.87109375,58699.359375,168519600
2025-05-30,57841.69140625,58578.91015625,57796.140625,58562.80078125,544076100
2025-06-02,57705.48046875,58600.78125,57609.71875,57973.3984375,193378900
2025-06-03,57639.0703125,57866.94921875,57443.58984375,57696.609375,183189600
2025-06-04,57484.51953125,57941.05078125,57415.51171875,57568.12890625,198018300
2025-06-05,57777.48828125,57981.4609375,57487.80859375,57487.80859375,161668600
2025-06-06,58061.41015625,58157.2890625,57145.55859375,57704.12890625,154880900
2025-06-09,57813.37890625,58325.75,57748.98828125,58147.58984375,106858800
2025-06-10,58098.51171875,58173.9609375,57608.4296875,57686.73828125,162634800
2025-06-11,57767.328125,58431.078125,57728.03125,58064.578125,212579900
2025-06-12,57829.73828125,58098.58984375,57488.53125,57766.5703125,206129500
2025-06-13,57438.5703125,57726.421875,57156.48046875,57726.421875,169109300
2025-06-16,57046.8515625,57834.53125,56980.578125,57495.7109375,189202000
2025-06-17,56676.8203125,57119.28125,56539.26953125,56963.94140625,166601700
2025-06-18,56729.5703125,56945.12109375,56423.6484375,56635.26953125,169049100
2025-06-19,56068.16015625,56823.6015625,56018.55859375,56745.71875,32711700
2025-06-20,56264.69140625,56427.33984375,55920.25,56122.2109375,1128789100
2025-06-23,56080.05859375,56192.76171875,55603.76953125,56104.73828125,141476100
2025-06-24,56743.28125,56807.921875,56054.53125,56060.4609375,155703300
2025-06-25,56933.19140625,57076.078125,56630.5,56630.5,198069800
2025-06-26,57474.19140625,57620.71875,56681.9609375,56926.37109375,139118600
2025-06-27,57391.51171875,57901.21875,57318.0703125,57489.80859375,145717800
2025-06-30,57450.87890625,57886.6796875,57334.55078125,57336.0390625,171950600
2025-07-01,57813.8203125,57870.109375,57244.8515625,57446.30859375,154918300
2025-07-02,58346.71875,58452.078125,57806.25,57806.25,233051600
2025-07-03,57890.98828125,58680.87109375,57785.62890625,58313.6484375,153607400
2025-07-04,57977.76171875,58078.48828125,57852.87890625,57930.1015625,18755700
2025-07-07,57423.3984375,58062.859375,57342.87109375,58005.609375,129960800
2025-07-08,57183.3203125,57434.2890625,56821.69921875,57338.26953125,135810100
2025-07-09,56687.5390625,57232.98046875,56617.76953125,57159.71875,177519600
2025-07-10,56739.8984375,56809.7109375,56370.48828125,56660.33984375,164963200
2025-07-11,56593.6484375,56779.3515625,56100.69140625,56618.12109375,145037400
2025-07-14,56362.671875,56655.94140625,56085.23828125,56567.2890625,146742700
2025-07-15,56482.91015625,56716.55859375,56186.5,56405.55078125,185149100
2025-07-16,56503.0390625,56714.08984375,56368.19140625,56448.46875,176679300
2025-07-17,56714.921875,56864.03125,56358.33984375,56413.5,214690600
2025-07-18,56273.44921875,56798.078125,56190.609375,56724.73046875,169999000
2025-07-21,55841.30078125,56425.08984375,55738.828125,56325.890625,208490000
2025-07-22,55517.80859375,56020.859375,55287.8984375,55945.109375,249620700
2025-07-23,56478.8984375,56556.76953125,55689.6484375,55718.87109375,312979800
2025-07-24,57035.8984375,57091.23828125,56511.44140625,56713.078125,224596700
2025-07-25,57323.140625,57358.078125,56772.58984375,56960.37109375,147271700
2025-07-28,57083.55859375,57369.62109375,56608.03125,57369.62109375,187572600
2025-07-29,57820.78125,57961.2890625,56566.25,57052.1015625,162399600
2025-07-30,57395.8515625,57959.6015625,57207.8984375,57787.8515625,187189000
2025-07-31,57397.9296875,57693.44921875,57091.1484375,57280.58984375,194415200
2025-08-01,56900.0703125,57485.5703125,56721.55078125,57485.5703125,142620500
2025-08-04,56650.26171875,56934.80859375,56486.859375,56851.8984375,168528200
2025-08-05,57071.55859375,57156.1015625,56545.6796875,56545.6796875,132849500
2025-08-06,57154.21875,57692.37109375,57021.37890625,57021.37890625,151734500
2025-08-07,58260.87890625,58301.7109375,57102.2109375,57102.2109375,169427900
2025-08-08,58070.171875,58496.3984375,58028.48828125,58264.078125,110022800
2025-08-11,58342.87109375,58441.1796875,58021.359375,58034.359375,135637600
2025-08-12,58675.0390625,58828.46875,58233.171875,58303.44140625,162638000
2025-08-13,58477.5703125,58847.2109375,58341.01953125,58661.46875,163130300
2025-08-14,58167.26953125,58405.91015625,57922.421875,58334.0,100882500
2025-08-15,58320.48046875,58541.328125,58117.0,58117.0,91076800
2025-08-18,58319.69921875,58486.28125,58028.55859375,58378.87109375,131255300
2025-08-19,58462.7890625,58534.62890625,58209.41015625,58224.28125,138750100
2025-08-20,58221.46875,58565.58984375,58124.25,58436.44921875,114319600
2025-08-21,58663.96875,58838.8203125,58169.859375,58169.859375,210627500
2025-08-22,59225.48046875,59399.71875,58564.05078125,58598.1484375,278168900
2025-08-25,58492.12890625,59250.2109375,58400.12890625,59242.390625,130126700
2025-08-26,58132.3984375,58623.4609375,58058.01171875,58504.21875,370248900
2025-08-27,58647.51953125,58699.37109375,57623.87109375,58138.3203125,178606200
2025-08-28,59151.6796875,59421.609375,58531.28125,58663.98828125,159754300
2025-08-29,58708.859375,59256.859375,58670.5703125,59218.578125,174166900
2025-09-01,58865.03125,58982.75,58398.75,58670.2890625,21556400
2025-09-02,59747.87890625,59822.80859375,58503.8984375,58949.48828125,159097300
2025-09-03,59651.5703125,60120.44140625,59449.94921875,59735.03125,191416200
2025-09-04,59867.62109375,59937.23828125,59331.23046875,59659.48046875,175744200
2025-09-05,60479.76171875,60560.44140625,59954.9296875,59954.9296875,186046700
2025-09-08,60649.76171875,60684.3515625,60199.83984375,60489.140625,175925500
2025-09-09,60679.53125,60820.859375,60447.12890625,60688.05859375,172272600
2025-09-10,60489.19140625,60987.3515625,60431.62890625,60643.140625,156040900
2025-09-11,61553.578125,61886.12109375,60605.3203125,60686.62890625,201091300
2025-09-12,61798.94140625,61941.98828125,61535.9609375,61596.890625,157237100
2025-09-15,62102.12890625,62252.12890625,61730.359375,61894.8515625,134046500
2025-09-17,61596.23046875,62177.859375,61493.16015625,61926.2890625,217955800
2025-09-18,61323.94921875,61605.75,60860.08984375,61605.75,249209100
2025-09-19,61200.26953125,61680.69140625,61085.4609375,61301.21875,1099809700
2025-09-22,62004.109375,62051.33984375,61102.76953125,61175.55859375,106765300
2025-09-23,62368.19140625,62453.19140625,61833.76171875,61983.80078125,158765000
2025-09-24,61905.94921875,62665.94140625,61689.640625,62484.140625,179966700
2025-09-25,61945.0390625,62273.9296875,61688.19140625,61796.62890625,133100900
2025-09-26,62307.0703125,62548.58984375,61899.73046875,61914.69921875,151682200
2025-09-29,62610.12109375,62962.9296875,62274.62890625,62274.62890625,160834900
2025-09-30,62915.5703125,63128.53125,62397.58984375,62521.05859375,271752100
2025-10-01,61929.71875,63182.58984375,61710.578125,62946.16015625,174385300
2025-10-02,62220.30859375,62290.1015625,61184.80859375,61947.1484375,166009500
2025-10-03,61984.4296875,62521.921875,61774.12109375,62132.5,135294700
2025-10-06,60404.19140625,60933.921875,60110.48046875,60749.6484375,143999600
2025-10-07,60215.75,60828.421875,60155.69140625,60414.48828125,131557600
2025-10-08,60888.55859375,60930.9296875,60178.2890625,60178.2890625,145654300
2025-10-09,60819.30859375,61274.75,60388.66015625,60931.1015625,169959500
2025-10-10,60568.9296875,61160.671875,60455.3203125,60869.44140625,160808600
2025-10-13,61045.08984375,61471.69921875,60678.03125,60808.0,99915000
2025-10-14,60785.62109375,61044.140625,60698.98828125,60967.3203125,166807300
2025-10-15,61637.5390625,61716.7109375,60927.26953125,60927.26953125,298666600
2025-10-16,62544.55859375,62920.80078125,61611.328125,61652.44921875,161659600
2025-10-17,61743.921875,62501.48828125,61482.91015625,62501.48828125,178466800
2025-10-20,61672.3515625,62086.51953125,61159.05078125,61871.328125,139130800
2025-10-21,60773.78125,61582.890625,60599.1015625,61582.890625,147256700
2025-10-22,61308.19921875,61391.53125,60695.23828125,60779.03125,147366900
2025-10-23,61511.94921875,61643.03125,60983.55859375,61299.12109375,147342600
2025-10-24,61145.48828125,61836.01171875,61018.71875,61741.03125,158562100
2025-10-27,61860.30078125,62065.05078125,61219.44921875,61424.8515625,158251500
2025-10-28,62795.23828125,62879.30859375,61900.30078125,61900.30078125,230140600
2025-10-29,63352.8515625,63540.28125,62558.71875,62569.05859375,110231300
2025-10-30,62889.859375,63275.828125,62841.21875,63014.08984375,180280900
2025-10-31,62769.1796875,63229.48828125,62433.828125,63007.8984375,245954000
2025-11-03,62653.890625,62834.98828125,62102.05859375,62729.51171875,73037700
2025-11-04,62390.73046875,62817.23828125,61289.76953125,61880.1796875,129590700
2025-11-05,63378.51171875,63682.80078125,62288.1796875,62288.1796875,197026600
2025-11-06,63093.12109375,63599.55859375,62996.48828125,63458.48046875,140698900
2025-11-07,63376.12890625,63491.55078125,62971.58984375,63149.7890625,134553200
2025-11-10,63094.01171875,63633.58984375,63061.8984375,63379.6484375,152139300
2025-11-11,64321.26953125,64406.2109375,63153.25,63178.6484375,152349500
2025-11-12,63190.66015625,64365.75,63098.359375,64195.1015625,166923200
2025-11-13,62529.44140625,63686.44921875,62449.73828125,63316.55859375,156917500
2025-11-14,62328.62890625,62820.87890625,62180.96875,62487.359375,168643000
2025-11-18,61984.44921875,62734.23828125,61901.53125,62388.78125,199835000
2025-11-19,62080.578125,62387.7109375,61790.359375,61964.1796875,187671000
2025-11-20,61672.19140625,62764.30859375,61590.578125,62091.08984375,142360200
2025-11-21,61877.26953125,62358.890625,61454.5390625,61655.390625,172129800
2025-11-24,62522.609375,62648.05859375,61840.51171875,61840.51171875,546770100
2025-11-25,63214.55859375,63266.87890625,62391.5390625,62461.23046875,121380900
2025-11-26,63242.7109375,63592.46875,62987.390625,63257.8515625,134309000
2025-11-27,62694.73046875,63298.3203125,62623.51171875,63221.23046875,28964300
2025-11-28,63596.78125,63876.4296875,62577.94140625,62736.828125,96877700
2025-12-01,63551.12890625,63809.73046875,63106.87109375,63720.62890625,168107500
2025-12-02,63820.609375,64077.48046875,63532.140625,63556.16015625,165680600
2025-12-03,63597.44140625,63938.0390625,63326.671875,63816.78125,140339400
2025-12-04,63714.859375,63760.73828125,63411.5703125,63587.51953125,143744400
2025-12-05,63378.30078125,64006.48046875,63338.26171875,63745.2109375,109971100
2025-12-08,63528.0,63794.01171875,63166.48828125,63496.46875,142320000
2025-12-09,63694.6796875,64087.30859375,63317.01953125,63602.03125,184967300
2025-12-10,63409.3984375,63847.98046875,63227.73828125,63674.19140625,162291900
2025-12-11,64712.0703125,65016.87109375,63448.48828125,63448.48828125,169325000
2025-12-15,64326.16015625,65250.140625,64218.58984375,64736.671875,192760400
2025-12-16,63230.87109375,64401.890625,63170.83984375,64401.890625,181538400
2025-12-17,62528.05859375,63537.23828125,62461.05859375,63304.87109375,183193500
